subject,accuracy,rt,reject
2497,0.6416666666666667,1025.5,0
2500,0.42083333333333334,225.0,0
2503,0.7458333333333333,874.699999809265,0
2506,0.8041666666666667,1001.60000014305,0
2541,0.5875,795.39999999851,0
2558,0.5,694.1999999880791,0
2559,0.5,658.0999999996275,0
2565,0.8125,843.600000143051,0
2571,0.7791666666666667,1100.29999995232,0
2575,0.8208333333333333,816.199999809265,0
2599,0.5541666666666667,690.0,0
2606,0.45416666666666666,578.5,0
2608,0.5,791.649999976158,0
2675,0.7625,982.900000035763,0
2700,0.5791666666666667,784.000000000233,0
2708,0.44166666666666665,676.100000023842,0
2709,0.7166666666666667,945.5,0
2712,0.8375,765.700000047684,0
2715,0.8166666666666667,990.5999999996275,0
2734,0.8458333333333333,901.099999964237,0
2752,0.5333333333333333,599.7499999990685,0
2761,0.6666666666666666,1011.2999999523149,0
2762,0.6958333333333333,956.300000071526,0
2771,0.8833333333333333,652.0500000000466,0
2785,0.6833333333333333,1004.14999997616,0
2788,0.6291666666666667,895.0,0
2792,0.925,1004.2999999523149,0
2803,0.8291666666666667,910.700000047684,0
2804,0.8166666666666667,724.75,0
2815,0.7333333333333333,1040.79999999702,0
2844,0.6791666666666667,1177.00000000023,0
2855,0.7791666666666667,826.0,0
2856,0.6208333333333333,565.099999904633,0
2865,0.7791666666666667,1086.29999995232,0
2867,0.5208333333333334,1026.39999985695,0
2870,0.8583333333333333,834.5,0
2874,0.5333333333333333,895.4500000029805,0
2884,0.5208333333333334,764.600000008941,0
2902,0.775,765.699999988079,0
2915,0.6791666666666667,1010.60000002384,0
2921,0.5,361.849999964237,0
2922,0.55,560.8000000119209,0
2925,0.8166666666666667,799.0,0
2935,0.8041666666666667,830.799999999814,0
2981,0.8,1154.4999999925499,0
2986,0.8375,765.29999999702,0
3001,0.6583333333333333,598.949999999255,0
3026,0.7791666666666667,1040.5,0
3028,0.7333333333333333,792.20000000298,0
3042,0.8208333333333333,1037.30000019073,0
3045,0.5458333333333333,748.20000000298,0
3046,0.5458333333333333,955.200000000186,0
3049,0.4875,728.0,0
3054,0.8416666666666667,1141.0,0
3055,1.0,979.9500000029805,1
3077,0.7791666666666667,642.0,0
3081,0.8625,1217.90000009537,0
3091,0.8541666666666666,770.20000000298,0
3097,0.8,1047.54999999702,0
3098,0.6416666666666667,920.0,0
3100,0.8083333333333333,823.149999976158,0
3106,0.6583333333333333,1405.2499999962752,0
3111,0.8166666666666667,722.8000000000466,0
3112,0.7416666666666667,1086.699999988075,0
3118,0.7041666666666667,854.699999999255,0
3128,0.8,904.4000000953674,0
3149,0.7125,1024.0,0
3156,0.8833333333333333,885.2500000018624,0
3158,0.7875,820.90000000596,0
3161,0.5125,645.10000038147,0
3169,0.7375,1102.09999990463,0
3170,0.7041666666666667,741.09999999404,0
3172,0.6125,899.300000071526,0
3192,0.7125,661.600000023842,0
3193,0.5583333333333333,986.0000000001164,0
3195,0.6291666666666667,1261.39999999944,0
3197,0.7166666666666667,811.20000000298,0
3206,0.75,899.5999999996275,0
3207,0.6958333333333333,867.40000000596,0
3212,0.8958333333333334,800.0,0
3223,0.7625,1408.5,0
3225,0.6166666666666667,814.40000000596,0
3237,0.8625,819.900000002235,0
3251,1.0,192.6999999999535,1
3273,0.6375,951.5,0
3285,0.5166666666666667,1094.14999997616,0
3329,0.5041666666666667,861.300000011921,0
3330,0.5375,737.5,0
3387,0.4666666666666667,489.850000023842,0
3394,0.8125,1128.0,0
3413,0.4708333333333333,608.0,0
3428,0.5208333333333334,922.0,0
3432,0.7625,789.0,0
3434,0.5291666666666667,1163.0,0
3447,0.5083333333333333,732.049999952316,0
3456,0.5625,805.700000047684,0
3464,0.5708333333333333,737.199999999255,0
3495,0.8166666666666667,949.0,0
3496,0.7083333333333334,908.5,0
3504,0.725,1344.9500000011199,0
3516,0.7833333333333333,730.0,0
3520,1.0,682.149999999905,1
3521,0.5541666666666667,1003.59999999963,0
3526,0.65,978.25,0
3529,0.7583333333333333,1008.7000000476851,0
3534,0.5041666666666667,525.199999928474,0
3535,0.5208333333333334,902.600000023842,0
3573,0.7791666666666667,893.699999999721,0
3574,0.6166666666666667,1137.70000000298,0
3585,0.4875,641.5,0
3595,0.7916666666666666,1010.7000000476851,0
