	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[2,6]	-0.000397	0.00548	1.01	-2.07	0.00728	1.87	33666.0	390.0	1.0
theta_pr[2,7]	0.00687	0.00543	1.01	-2.08	0.00778	1.9	34618.0	401.0	1.0
theta_pr[2,8]	-0.00393	0.00555	0.995	-2.05	-0.00302	1.87	32161.0	373.0	1.0
theta_pr[2,9]	-0.00259	0.00532	0.992	-2.05	0.00336	1.87	34723.0	403.0	1.0
theta_pr[2,10]	-0.00361	0.00544	0.997	-2.05	-0.00551	1.91	33526.0	389.0	1.0
theta_pr[2,11]	0.00288	0.00549	0.993	-2.04	0.00859	1.86	32724.0	379.0	1.0
theta_pr[2,12]	0.00131	0.00532	1.0	-2.09	0.00268	1.87	35624.0	413.0	1.0
theta_pr[2,13]	-0.00436	0.00531	0.996	-2.03	-0.00639	1.84	35096.0	407.0	1.0
theta_pr[2,14]	0.00194	0.00535	1.0	-2.05	-3.18e-05	1.91	35257.0	409.0	1.0
theta_pr[2,15]	-0.00346	0.00521	1.0	-2.06	-0.00188	1.88	36994.0	429.0	1.0
sigma[1]	1.1	0.00828	1.32	0.026	0.758	3.95	25471.0	295.0	1.0
sigma[2]	1.09	0.00761	1.25	0.024	0.756	3.81	26938.0	312.0	1.0
L[1,1]	1.0		2.5e-14	1.0	1.0	1.0			
L[1,2]	0.0		0.0	0.0	0.0	0.0			
L[1,3]	0.0		0.0	0.0	0.0	0.0			
L[1,4]	0.0		0.0	0.0	0.0	0.0			
L[2,1]	-0.904	5.09e-05	0.0086	-0.921	-0.905	-0.888	28552.0	331.0	1.0
L[2,2]	0.426	0.000108	0.0182	0.389	0.426	0.46	28380.0	329.0	1.0
L[2,3]	0.0		0.0	0.0	0.0	0.0			
L[2,4]	0.0		0.0	0.0	0.0	0.0			
L[3,1]	-0.00115	0.00076	0.143	-0.297	-0.00048	0.266	35452.0	411.0	1.0
L[3,2]	2.24e-05	0.000785	0.143	-0.294	0.00127	0.268	33000.0	383.0	1.0
L[3,3]	0.979	0.000217	0.0207	0.921	0.985	0.999	9067.0	105.0	1.0
