	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a1[49]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[50]	0.00629	0.0073	0.0103	0.000234	0.000358	0.0251	2.0	0.000775	27.7
a1[51]	0.0148	0.0181	0.0256	3.24e-05	5.31e-05	0.0611	2.0	0.000775	31.9
a1[52]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[53]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[54]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[55]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[56]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[57]	0.00629	0.0073	0.0103	0.000234	0.000358	0.0251	2.0	0.000775	27.7
a1[58]	0.00927	0.0112	0.0158	9e-05	0.000142	0.038	2.0	0.000775	29.2
a1[59]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[60]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[61]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[62]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[63]	0.00927	0.0112	0.0158	9e-05	0.000142	0.038	2.0	0.000775	29.2
a1[64]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[65]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[66]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[67]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[68]	0.00871	0.0014	0.0021	0.00593	0.00795	0.0124	2.26	0.000875	2.78
a1[69]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[70]	0.00587	0.00255	0.00364	0.00288	0.00398	0.0125	2.03	0.000784	8.37
a1[71]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[72]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[73]	0.0148	0.0181	0.0256	3.24e-05	5.31e-05	0.0611	2.0	0.000775	31.9
a1[74]	0.0643	0.0118	0.0173	0.0338	0.0712	0.0844	2.15	0.000833	3.55
a1[75]	0.00927	0.0112	0.0158	9e-05	0.000142	0.038	2.0	0.000775	29.2
a1[76]	0.00587	0.00255	0.00364	0.00288	0.00398	0.0125	2.03	0.000784	8.37
a1[77]	0.00871	0.0014	0.0021	0.00593	0.00795	0.0124	2.26	0.000875	2.78
a1[78]	0.00629	0.0073	0.0103	0.000234	0.000358	0.0251	2.0	0.000775	27.7
a1[79]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[80]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[81]	0.0148	0.0181	0.0256	3.24e-05	5.31e-05	0.0611	2.0	0.000775	31.9
a1[82]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[83]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[84]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[85]	0.0415	0.0508	0.0718	3.46e-06	6.11e-06	0.17	2.0	0.000775	44.7
a1[86]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[87]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[88]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[89]	0.00871	0.0014	0.0021	0.00593	0.00795	0.0124	2.26	0.000875	2.78
a1[90]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[91]	0.00871	0.0014	0.0021	0.00593	0.00795	0.0124	2.26	0.000875	2.78
a1[92]	0.00629	0.0073	0.0103	0.000234	0.000358	0.0251	2.0	0.000775	27.7
a1[93]	0.0142	0.000295	0.00142	0.0116	0.0139	0.0173	23.1	0.00893	1.05
a1[94]	0.00476	0.00364	0.00516	0.00132	0.00189	0.0142	2.01	0.000777	17.9
a1[95]	0.00871	0.0014	0.0021	0.00593	0.00795	0.0124	2.26	0.000875	2.78
a1[96]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
a1[97]	0.068	0.0833	0.118	1.03e-06	1.88e-06	0.277	2.0	0.000775	58.5
