	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a2[48]	0.266	0.00285	0.203	0.00472	0.251	0.671	5095.0	0.0217	1.0
a2[49]	0.164	0.000537	0.0671	0.0686	0.151	0.321	15576.0	0.0665	1.0
a2[50]	0.227	0.000562	0.0757	0.1	0.217	0.39	18171.0	0.0775	1.0
a2[51]	0.0848	0.00116	0.106	0.00247	0.0433	0.371	8303.0	0.0354	1.0
a2[52]	0.0296	0.000711	0.0555	0.000288	0.0113	0.172	6084.0	0.026	1.0
a2[53]	0.181	0.00116	0.128	0.0287	0.149	0.476	12108.0	0.0517	1.0
a2[54]	0.126	0.000616	0.0722	0.0388	0.108	0.298	13738.0	0.0586	1.0
a2[55]	0.227	0.00079	0.104	0.0646	0.214	0.453	17379.0	0.0742	1.0
a2[56]	0.211	0.000487	0.0658	0.102	0.203	0.352	18245.0	0.0779	1.0
a2[57]	0.091	0.000287	0.0357	0.042	0.0839	0.176	15416.0	0.0658	1.0
a2[58]	0.0835	0.000412	0.0472	0.0222	0.0734	0.194	13091.0	0.0559	1.0
a2[59]	0.0984	0.00103	0.096	0.0149	0.0639	0.359	8651.0	0.0369	1.0
a2[60]	0.0503	0.00093	0.079	0.0004	0.0188	0.267	7225.0	0.0308	1.0
a2[61]	0.132	0.00165	0.148	0.004	0.0706	0.512	8023.0	0.0342	1.0
a2[62]	0.092	0.00119	0.0878	0.0198	0.0599	0.341	5406.0	0.0231	1.0
a2[63]	0.115	0.00132	0.124	0.00854	0.069	0.455	8866.0	0.0378	1.0
a2[64]	0.112	0.000876	0.0875	0.0115	0.09	0.327	9972.0	0.0426	1.0
a2[65]	0.105	0.000209	0.0254	0.0624	0.102	0.16	14850.0	0.0634	1.0
a2[66]	0.121	0.000839	0.0851	0.0205	0.0997	0.33	10277.0	0.0439	1.0
a2[67]	0.316	0.000492	0.0719	0.17	0.315	0.452	21369.0	0.0912	1.0
a2[68]	0.102	0.00103	0.101	0.00716	0.0698	0.366	9533.0	0.0407	1.0
a2[69]	0.122	0.00162	0.135	0.0167	0.0662	0.5	6944.0	0.0296	1.0
a2[70]	0.0411	0.000645	0.0615	0.000271	0.0187	0.204	9084.0	0.0388	1.0
a2[71]	0.0727	0.000871	0.0871	0.00226	0.0398	0.309	10000.0	0.0427	1.0
a2[72]	0.12	0.0019	0.152	0.00107	0.0496	0.516	6363.0	0.0272	1.0
a2[73]	0.112	0.00153	0.132	0.0025	0.0574	0.463	7449.0	0.0318	1.0
a2[74]	0.226	0.00146	0.154	0.0264	0.194	0.585	11163.0	0.0476	1.0
a2[75]	0.059	0.000248	0.0278	0.0241	0.0526	0.125	12572.0	0.0537	1.0
a2[76]	0.0813	0.000722	0.0644	0.0232	0.0608	0.252	7951.0	0.0339	1.0
a2[77]	0.125	0.00136	0.115	0.0211	0.0771	0.422	7225.0	0.0308	1.0
a2[78]	0.185	0.000606	0.0748	0.0749	0.173	0.355	15209.0	0.0649	1.0
a2[79]	0.167	0.000282	0.0382	0.0981	0.164	0.248	18345.0	0.0783	1.0
a2[80]	0.106	0.000347	0.043	0.0453	0.0982	0.204	15312.0	0.0653	1.0
a2[81]	0.0905	0.00143	0.114	0.00603	0.0434	0.413	6406.0	0.0273	1.0
a2[82]	0.262	0.000446	0.0618	0.138	0.261	0.38	19131.0	0.0816	1.0
a2[83]	0.125	0.0012	0.119	0.0121	0.0819	0.43	9864.0	0.0421	1.0
a2[84]	0.0615	0.000582	0.0494	0.0186	0.0466	0.186	7208.0	0.0308	1.0
a2[85]	0.0413	0.000752	0.0637	0.000438	0.0172	0.212	7170.0	0.0306	1.0
a2[86]	0.0751	0.000969	0.0826	0.0142	0.0443	0.303	7255.0	0.031	1.0
a2[87]	0.106	0.000668	0.0733	0.0249	0.0848	0.289	12023.0	0.0513	1.0
a2[88]	0.224	0.000511	0.0709	0.1	0.217	0.371	19284.0	0.0823	1.0
a2[89]	0.229	0.00204	0.183	0.0242	0.171	0.672	8039.0	0.0343	1.0
a2[90]	0.0684	0.00115	0.0978	0.00183	0.0291	0.339	7270.0	0.031	1.0
a2[91]	0.398	0.00113	0.141	0.12	0.398	0.672	15588.0	0.0665	1.0
a2[92]	0.0651	0.000703	0.0697	0.0063	0.0412	0.249	9830.0	0.042	1.0
a2[93]	0.0798	0.000253	0.032	0.0354	0.0736	0.153	15968.0	0.0681	1.0
a2[94]	0.0597	0.000712	0.0636	0.00824	0.0364	0.234	7992.0	0.0341	1.0
a2[95]	0.0487	0.000754	0.0681	0.000412	0.0239	0.228	8162.0	0.0348	1.0
a2[96]	0.163	0.000465	0.063	0.0657	0.153	0.302	18377.0	0.0784	1.0
a2[97]	0.0624	0.000687	0.0606	0.015	0.0429	0.226	7781.0	0.0332	1.0
a2[98]	0.286	0.000578	0.0799	0.136	0.284	0.44	19116.0	0.0816	1.0
a2[99]	0.423	0.0014	0.15	0.0945	0.433	0.687	11403.0	0.0487	1.0
a2[100]	0.042	0.000715	0.0619	0.000658	0.0191	0.211	7488.0	0.032	1.0
a2[101]	0.061	0.000256	0.0284	0.0248	0.0548	0.128	12286.0	0.0524	1.0
a2[102]	0.0948	0.000679	0.069	0.021	0.0731	0.263	10322.0	0.044	1.0
a2[103]	0.0603	0.00106	0.0888	0.00188	0.0253	0.308	6991.0	0.0298	1.0
a2[104]	0.354	0.000759	0.0906	0.144	0.362	0.505	14254.0	0.0608	1.0
a2[105]	0.082	0.00117	0.0986	0.00619	0.0429	0.351	7056.0	0.0301	1.0
a2[106]	0.171	0.000397	0.0514	0.0823	0.166	0.279	16750.0	0.0715	1.0
a2[107]	0.114	0.000415	0.0477	0.0479	0.104	0.226	13203.0	0.0563	1.0
a2[108]	0.228	0.00074	0.0945	0.0819	0.215	0.427	16333.0	0.0697	1.0
a2[109]	0.114	0.00082	0.0729	0.0334	0.093	0.298	7912.0	0.0338	1.0
a2[110]	0.087	0.000557	0.0576	0.0254	0.0706	0.232	10663.0	0.0455	1.0
a2[111]	0.452	0.00108	0.131	0.177	0.454	0.697	14652.0	0.0625	1.0
a2[112]	0.0783	0.000286	0.0329	0.0345	0.0711	0.157	13231.0	0.0565	1.0
a2[113]	0.043	0.000836	0.0722	0.000981	0.0158	0.24	7463.0	0.0318	1.0
a2[114]	0.156	0.000345	0.0467	0.0741	0.152	0.253	18322.0	0.0782	1.0
a2[115]	0.295	0.000695	0.0945	0.109	0.293	0.479	18465.0	0.0788	1.0
a2[116]	0.158	0.000557	0.0692	0.0618	0.144	0.319	15472.0	0.066	1.0
a2[117]	0.294	0.00792	0.282	0.00967	0.204	0.801	1270.0	0.00542	1.0
a2[118]	0.208	0.00053	0.0702	0.0886	0.201	0.358	17565.0	0.075	1.0
a2[119]	0.399	0.00114	0.141	0.127	0.395	0.669	15291.0	0.0653	1.0
a2[120]	0.31	0.00242	0.206	0.0419	0.282	0.715	7204.0	0.0307	1.0
a2[121]	0.0609	0.000223	0.0276	0.0226	0.0555	0.125	15285.0	0.0652	1.0
a2[122]	0.116	0.00267	0.156	0.00407	0.0479	0.559	3406.0	0.0145	1.0
a2[123]	0.0689	0.00104	0.0924	0.00233	0.0345	0.32	7826.0	0.0334	1.0
a2[124]	0.117	0.000621	0.0731	0.0308	0.0961	0.293	13860.0	0.0591	1.0
a2[125]	0.0517	0.00104	0.0837	0.00143	0.0203	0.295	6439.0	0.0275	1.0
a2[126]	0.215	0.000921	0.109	0.0619	0.195	0.459	14112.0	0.0602	1.0
a2[127]	0.117	0.000613	0.0701	0.0375	0.0974	0.291	13107.0	0.0559	1.0
a2[128]	0.109	0.000409	0.0506	0.0399	0.0989	0.229	15319.0	0.0654	1.0
a2[129]	0.148	0.000749	0.0843	0.0421	0.129	0.352	12672.0	0.0541	1.0
a2[130]	0.0938	0.00101	0.0962	0.0108	0.0597	0.354	9015.0	0.0385	1.0
a2[131]	0.0805	0.000237	0.029	0.0384	0.0754	0.149	14940.0	0.0638	1.0
a2[132]	0.269	0.00141	0.155	0.039	0.251	0.602	12101.0	0.0516	1.0
a2[133]	0.295	0.00145	0.153	0.0407	0.292	0.596	11224.0	0.0479	1.0
a2[134]	0.257	0.000772	0.101	0.1	0.243	0.478	16971.0	0.0724	1.0
a2[135]	0.0507	0.000747	0.0702	0.000595	0.0256	0.237	8829.0	0.0377	1.0
a2[136]	0.416	0.00202	0.204	0.0592	0.406	0.804	10261.0	0.0438	1.0
a2[137]	0.243	0.0015	0.151	0.0321	0.222	0.559	10087.0	0.043	1.0
