	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[5,134]	0.898	0.00444	0.46	0.0364	0.877	1.82	10749.0	0.935	1.0
theta_pr[5,135]	-0.641	0.00617	0.798	-2.34	-0.631	0.865	16736.0	1.46	1.0
theta_pr[5,136]	0.374	0.0049	0.49	-0.483	0.331	1.42	10019.0	0.872	1.0
theta_pr[5,137]	-0.194	0.00734	0.689	-1.25	-0.308	1.24	8807.0	0.766	1.0
theta_pr[5,138]	0.675	0.00614	0.666	-0.747	0.689	1.9	11764.0	1.02	1.0
theta_pr[5,139]	0.0115	0.00415	0.395	-0.739	-0.00811	0.803	9055.0	0.788	1.0
theta_pr[5,140]	0.176	0.00425	0.404	-0.548	0.136	1.07	9000.0	0.783	1.0
theta_pr[5,141]	1.21	0.0119	0.86	-0.647	1.31	2.62	5220.0	0.454	1.0
theta_pr[5,142]	0.0557	0.00468	0.336	-0.588	0.0383	0.735	5148.0	0.448	1.0
theta_pr[5,143]	-0.668	0.00498	0.493	-1.51	-0.736	0.406	9798.0	0.852	1.0
theta_pr[5,144]	-0.987	0.00398	0.357	-1.72	-0.99	-0.303	8076.0	0.703	1.0
theta_pr[5,145]	-1.31	0.00696	0.615	-2.36	-1.39	0.153	7794.0	0.678	1.0
sigma[1]	0.652	0.000793	0.0669	0.526	0.648	0.786	7125.0	0.62	1.0
sigma[2]	0.623	0.000774	0.0619	0.506	0.62	0.748	6396.0	0.556	1.0
sigma[3]	0.241	0.000189	0.017	0.209	0.24	0.275	8113.0	0.706	1.0
sigma[4]	0.213	0.000182	0.0147	0.185	0.212	0.243	6558.0	0.57	1.0
sigma[5]	0.662	0.000981	0.0531	0.558	0.661	0.767	2937.0	0.255	1.0
L[1,1]	1.0		8.24e-14	1.0	1.0	1.0			
L[1,2]	0.0		0.0	0.0	0.0	0.0			
L[1,3]	0.0		0.0	0.0	0.0	0.0			
L[1,4]	0.0		0.0	0.0	0.0	0.0			
L[1,5]	0.0		0.0	0.0	0.0	0.0			
L[1,6]	0.0		0.0	0.0	0.0	0.0			
L[1,7]	0.0		0.0	0.0	0.0	0.0			
L[2,1]	0.00077	0.000841	0.137	-0.277	-0.000789	0.256	26569.0	2.31	1.0
L[2,2]	0.99	0.000171	0.0134	0.948	0.996	1.0	6126.0	0.533	1.0
L[2,3]	0.0		0.0	0.0	0.0	0.0			
L[2,4]	0.0		0.0	0.0	0.0	0.0			
L[2,5]	0.0		0.0	0.0	0.0	0.0			
L[2,6]	0.0		0.0	0.0	0.0	0.0			
L[2,7]	0.0		0.0	0.0	0.0	0.0			
L[3,1]	0.0639	0.000963	0.0904	-0.123	0.065	0.232	8824.0	0.768	1.0
L[3,2]	0.0815	0.000888	0.0867	-0.0952	0.0815	0.245	9539.0	0.83	1.0
L[3,3]	0.987	0.00013	0.012	0.953	0.99	0.999	8497.0	0.739	1.0
L[3,4]	0.0		0.0	0.0	0.0	0.0			
L[3,5]	0.0		0.0	0.0	0.0	0.0			
L[3,6]	0.0		0.0	0.0	0.0	0.0			
L[3,7]	0.0		0.0	0.0	0.0	0.0			
L[4,1]	0.08	0.000954	0.0867	-0.1	0.0809	0.24	8262.0	0.719	1.0
L[4,2]	0.00524	0.000826	0.0831	-0.162	0.00558	0.159	10138.0	0.882	1.0
L[4,3]	0.588	0.00112	0.0743	0.422	0.592	0.716	4395.0	0.382	1.0
