	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1[2,27]	25.7	0.0577	6.11	15.1	25.0	38.5	11201.0	0.428	1.0
b1[2,28]	14.2	0.0701	6.51	4.94	13.0	28.8	8605.0	0.329	1.0
b1[2,29]	13.2	0.0923	5.52	5.74	12.0	26.2	3577.0	0.137	1.0
b1[2,30]	12.6	0.0769	6.75	3.29	11.3	28.0	7705.0	0.295	1.0
b1[2,31]	6.1	0.182	9.43	-4.73	1.68	28.8	2684.0	0.103	1.0
b1[2,32]	15.9	0.0969	7.58	3.71	15.1	32.0	6109.0	0.234	1.0
b1[2,33]	20.6	0.0615	6.12	10.9	19.8	34.2	9903.0	0.379	1.0
b1[2,34]	12.7	0.109	6.57	4.07	11.2	28.0	3656.0	0.14	1.0
b1[2,35]	27.7	0.0585	6.54	16.0	27.1	41.3	12493.0	0.478	1.0
b1[2,36]	18.1	0.0513	5.8	9.0	17.2	30.9	12771.0	0.488	1.0
b1[2,37]	18.1	0.0508	5.41	9.61	17.3	30.2	11337.0	0.433	1.0
b1[2,38]	24.1	0.0741	5.28	15.1	23.6	35.2	5079.0	0.194	1.0
b1[2,39]	23.7	0.0519	6.06	13.6	23.1	36.5	13636.0	0.521	1.0
b1[2,40]	8.72	0.112	7.42	0.91	6.33	26.5	4355.0	0.166	1.0
b1[2,41]	7.84	0.142	4.66	2.83	6.36	19.8	1076.0	0.0411	1.0
b1[2,42]	14.5	0.0697	6.73	4.86	13.3	29.8	9331.0	0.357	1.0
b1[2,43]	5.92	0.0255	2.0	3.58	5.5	10.4	6145.0	0.235	1.0
b1[2,44]	22.6	0.0566	6.32	12.0	21.9	36.0	12484.0	0.477	1.0
b1[2,45]	16.4	0.0724	7.12	5.75	15.3	31.9	9664.0	0.369	1.0
b1[2,46]	14.8	0.0405	3.97	8.7	14.2	23.8	9588.0	0.367	1.0
b1[2,47]	18.6	0.0772	7.47	6.39	17.8	34.4	9375.0	0.358	1.0
b1[2,48]	22.5	0.0478	5.78	12.8	21.8	34.7	14608.0	0.558	1.0
b1[2,49]	9.29	0.193	6.75	2.7	6.93	27.1	1228.0	0.0469	1.0
b1[2,50]	11.1	0.184	9.68	-0.637	9.19	32.1	2763.0	0.106	1.0
b1[2,51]	3.3	0.2	5.13	-0.431	1.56	18.8	658.0	0.0252	1.01
b1[2,52]	4.69	0.147	5.42	0.286	2.65	20.0	1363.0	0.0521	1.0
b1[2,53]	13.9	0.0268	2.92	9.16	13.5	20.4	11841.0	0.453	1.0
b1[2,54]	1.82	0.0692	2.62	0.602	1.29	7.44	1436.0	0.0549	1.0
b1[2,55]	13.9	0.0711	6.23	5.61	12.5	28.5	7673.0	0.293	1.0
b1[2,56]	14.6	0.0791	7.28	3.9	13.5	30.1	8486.0	0.324	1.0
b1[2,57]	12.0	0.0333	3.47	6.95	11.4	20.0	10849.0	0.415	1.0
b1[2,58]	14.2	0.0988	7.77	3.53	12.9	31.0	6177.0	0.236	1.0
b1[2,59]	16.5	0.0282	2.98	11.3	16.2	22.9	11203.0	0.428	1.0
b1[2,60]	9.5	0.113	6.69	2.17	7.4	26.0	3486.0	0.133	1.0
b1[2,61]	32.8	0.0587	6.67	20.6	32.3	46.7	12925.0	0.494	1.0
b1[2,62]	13.7	0.0785	7.1	3.75	12.4	29.5	8163.0	0.312	1.0
b1[2,63]	10.8	0.0643	5.55	3.99	9.4	24.4	7448.0	0.285	1.0
b1[2,64]	1.93	0.0485	2.02	0.822	1.6	4.14	1734.0	0.0663	1.0
b1[2,65]	9.22	0.113	4.57	4.33	7.88	21.0	1634.0	0.0624	1.0
b1[2,66]	10.2	0.121	8.03	0.793	8.31	28.6	4366.0	0.167	1.0
b1[2,67]	8.69	0.0478	2.36	5.38	8.26	14.2	2442.0	0.0933	1.0
b1[2,68]	6.7	0.0459	3.15	3.1	5.86	14.5	4727.0	0.181	1.0
b1[2,69]	24.3	0.0522	6.11	13.9	23.7	37.0	13704.0	0.524	1.0
b1[2,70]	5.57	0.0176	1.58	3.32	5.29	9.15	8080.0	0.309	1.0
b1[2,71]	8.51	0.0285	2.28	5.4	8.07	13.9	6392.0	0.244	1.0
b1[2,72]	13.3	0.0197	2.34	9.18	13.1	18.1	14031.0	0.536	1.0
b1[2,73]	20.7	0.0522	5.68	11.4	20.0	32.9	11826.0	0.452	1.0
b1[2,74]	25.9	0.0557	6.16	15.7	25.2	39.1	12222.0	0.467	1.0
b1[2,75]	27.2	0.085	6.93	15.2	26.5	41.8	6651.0	0.254	1.0
b1[2,76]	22.9	0.0505	5.79	13.2	22.3	35.5	13112.0	0.501	1.0
b1[2,77]	17.5	0.0585	5.89	8.55	16.6	30.7	10126.0	0.387	1.0
b1[2,78]	28.8	0.0493	5.75	18.7	28.4	40.8	13606.0	0.52	1.0
b1[2,79]	15.0	0.0509	5.24	7.53	13.9	27.0	10584.0	0.405	1.0
b1[2,80]	18.8	0.0622	6.18	9.17	18.0	32.1	9848.0	0.376	1.0
b1[2,81]	15.0	0.0832	6.11	6.48	13.8	29.5	5402.0	0.206	1.0
b1[2,82]	13.6	0.0613	5.78	5.93	12.2	27.2	8888.0	0.34	1.0
a1[1,1]	0.057	0.000205	0.018	0.0298	0.054	0.0973	7696.0	0.294	1.0
a1[1,2]	0.201	0.0025	0.155	0.00549	0.177	0.533	3814.0	0.146	1.0
a1[1,3]	0.0988	0.000348	0.0241	0.0572	0.0964	0.15	4790.0	0.183	1.0
a1[1,4]	0.212	0.000876	0.0795	0.0764	0.206	0.375	8237.0	0.315	1.0
a1[1,5]	0.132	0.000279	0.0348	0.0721	0.129	0.205	15475.0	0.592	1.0
a1[1,6]	0.249	0.000804	0.0651	0.121	0.247	0.378	6559.0	0.251	1.0
a1[1,7]	0.0407	0.000376	0.0316	0.0129	0.031	0.12	7049.0	0.269	1.0
a1[1,8]	0.0745	0.000331	0.0334	0.0315	0.0667	0.154	10162.0	0.388	1.0
a1[1,9]	0.0943	0.00027	0.0297	0.049	0.0896	0.163	12121.0	0.463	1.0
a1[1,10]	0.0576	0.000847	0.0676	0.00675	0.0312	0.24	6370.0	0.243	1.0
a1[1,11]	0.0425	0.00151	0.084	0.00229	0.0121	0.287	3114.0	0.119	1.0
a1[1,12]	0.0287	0.000608	0.0409	0.00319	0.0165	0.121	4526.0	0.173	1.0
a1[1,13]	0.154	0.000402	0.0487	0.0732	0.148	0.257	14682.0	0.561	1.0
a1[1,14]	0.159	0.000767	0.061	0.0645	0.151	0.292	6327.0	0.242	1.0
a1[1,15]	0.0468	0.00101	0.0682	0.00451	0.0204	0.234	4564.0	0.174	1.0
a1[1,16]	0.0571	0.000317	0.0323	0.0194	0.0483	0.137	10388.0	0.397	1.0
a1[1,17]	0.0489	0.000185	0.0207	0.0214	0.0444	0.0988	12501.0	0.478	1.0
a1[1,18]	0.153	0.000685	0.0714	0.0473	0.143	0.311	10886.0	0.416	1.0
a1[1,19]	0.2	0.000737	0.0739	0.0722	0.195	0.348	10047.0	0.384	1.0
a1[1,20]	0.125	0.00059	0.0424	0.0608	0.119	0.221	5160.0	0.197	1.0
a1[1,21]	0.0453	0.000174	0.0187	0.0207	0.0414	0.0899	11570.0	0.442	1.0
a1[1,22]	0.0535	0.000641	0.0488	0.0132	0.037	0.182	5796.0	0.222	1.0
a1[1,23]	0.0146	0.000202	0.0153	0.00267	0.0101	0.052	5741.0	0.219	1.0
a1[1,24]	0.024	0.000772	0.0488	0.00119	0.00947	0.139	3993.0	0.153	1.0
a1[1,25]	0.097	0.00083	0.0482	0.0302	0.0873	0.205	3375.0	0.129	1.0
a1[1,26]	0.0431	0.000602	0.0471	0.00788	0.0266	0.168	6112.0	0.234	1.0
a1[1,27]	0.072	0.000157	0.0183	0.0423	0.0697	0.112	13497.0	0.516	1.0
a1[1,28]	0.0427	0.000248	0.0241	0.0158	0.0365	0.101	9420.0	0.36	1.0
a1[1,29]	0.131	0.000405	0.0447	0.0613	0.124	0.229	12179.0	0.466	1.0
a1[1,30]	0.0373	0.00033	0.0278	0.0116	0.0289	0.106	7103.0	0.271	1.0
